run,data,val_imgs,R@0.25,P@0.25,R@F1max,P@F1max,F1max_conf,peakR,peakR_P
019_yolo11s_cls_weight,configs/own_dataset.yaml,-1,0.6213,0.6239,0.6227,0.6234,0.248,0.8149,0.0901
004_yolo11s,configs/own_dataset.yaml,-1,0.614,0.5453,0.5443,0.734,0.47,0.8197,0.0757
008_yolo11s_randaug,configs/own_dataset.yaml,-1,0.6103,0.5661,0.5877,0.6235,0.289,0.8466,0.0533
024_yolo11s_640_300ep,configs/own_dataset.yaml,-1,0.6019,0.575,0.5365,0.7263,0.473,0.8033,0.0694
031_yolo11s_copypaste,configs/own_dataset_copypaste.yaml,-1,0.5952,0.5613,0.5528,0.6136,0.376,0.8178,0.0691
001_yolov8n,configs/own_dataset.yaml,-1,0.5901,0.5184,0.5582,0.6251,0.342,0.8097,0.0439
056_yolo26s_hp_ep200cos,configs/own_dataset.yaml,-1,0.5891,0.6076,0.6013,0.6079,0.22,0.7872,0.099
002_yolov8s,configs/own_dataset.yaml,-1,0.5859,0.531,0.4984,0.7453,0.594,0.8005,0.082
014_yolo11s_psa,configs/own_dataset.yaml,-1,0.5859,0.5564,0.5644,0.6123,0.318,0.8267,0.0626
032_yolo11s_weakfinetune,configs/own_dataset_weak.yaml,-1,0.5814,0.5428,0.5964,0.5298,0.215,0.8022,0.065
003_yolo11n,configs/own_dataset.yaml,-1,0.5803,0.5687,0.5297,0.6772,0.385,0.8266,0.0408
029_yolo11s_clspw,configs/own_dataset.yaml,-1,0.58,0.5312,0.5541,0.6136,0.336,0.831,0.0657
007_yoloworld_s_v2,configs/own_dataset_world.yaml,-1,0.5794,0.5405,0.5397,0.6102,0.37,0.8046,0.0633
053_yolo26s_hp_ep200,configs/own_dataset.yaml,-1,0.575,0.6383,0.5769,0.6354,0.243,0.7826,0.1263
006_yolo26s,configs/own_dataset.yaml,-1,0.566,0.6201,0.5828,0.6046,0.226,0.8226,0.0689
055_yolo26s_hp_lr02,configs/own_dataset.yaml,-1,0.566,0.6201,0.5828,0.6046,0.226,0.8226,0.0689
018_yolo11s_1280,configs/own_dataset.yaml,-1,0.563,0.5632,0.649,0.4992,0.132,0.8093,0.073
054_yolo26s_hp_cos,configs/own_dataset.yaml,-1,0.5625,0.6137,0.6241,0.5696,0.167,0.828,0.081
045_yolo11s_v2full,configs/own_dataset_v2_full.yaml,-1,0.5476,0.5602,0.5964,0.5185,0.194,0.8002,0.0526
034_yolo11s_1280_oversample,configs/own_dataset_oversampled.yaml,-1,0.543,0.5768,0.547,0.576,0.245,0.8143,0.0656
030_yolo11s_multiscale,configs/own_dataset.yaml,-1,0.5422,0.5962,0.5325,0.6456,0.281,0.8271,0.0394
013_yolov8s_psa,configs/own_dataset.yaml,-1,0.5374,0.5957,0.495,0.7337,0.379,0.8061,0.058
050_yolo10s,configs/own_dataset.yaml,-1,0.5354,0.5599,0.5176,0.6117,0.326,0.8073,0.084
021_yolo11s_freeze,configs/own_dataset.yaml,-1,0.5337,0.5464,0.493,0.7119,0.472,0.767,0.0759
046_yolo11s_v2_1280_os,configs/own_dataset_v2_oversampled.yaml,0,0.5327,0.5732,0.5214,0.6081,0.296,0.7797,0.0682
047_yolo11s_v2_1280_os_noint,configs/own_dataset_v2_oversampled.yaml,0,0.5327,0.5732,0.5214,0.6081,0.296,0.7797,0.0682
033_yolo11s_1280_weakfinetune,configs/own_dataset_weak.yaml,-1,0.5326,0.6214,0.6108,0.5367,0.124,0.7922,0.0782
044_yolo11s_v2baseline,configs/own_dataset_v2.yaml,-1,0.5316,0.5355,0.5616,0.5203,0.21,0.8056,0.0578
